feature_name,coefficient,model_key,fold
intercept,42.82407204688878,SC_B,fold_1
ENSG00000130770,-0.0030058976076685396,SC_B,fold_1
ENSG00000177606,0.20211178068896232,SC_B,fold_1
ENSG00000265972,-0.32542131577954164,SC_B,fold_1
ENSG00000143878,0.3027011749242116,SC_B,fold_1
ENSG00000169564,-0.6284601070419944,SC_B,fold_1
ENSG00000197756,-0.1011300162941791,SC_B,fold_1
ENSG00000184897,0.11125931623962601,SC_B,fold_1
ENSG00000132465,-0.177850645582616,SC_B,fold_1
ENSG00000120129,0.5277088288306869,SC_B,fold_1
ENSG00000198055,-0.12227426978131893,SC_B,fold_1
ENSG00000227507,-0.03929213704567059,SC_B,fold_1
ENSG00000254087,-0.0018859960993874247,SC_B,fold_1
ENSG00000067082,0.39108105109892405,SC_B,fold_1
ENSG00000110651,-0.7429511643460219,SC_B,fold_1
ENSG00000173020,-0.12458789590440295,SC_B,fold_1
ENSG00000110848,0.0651604543674942,SC_B,fold_1
ENSG00000167552,0.13201608935730472,SC_B,fold_1
ENSG00000197728,0.24778148689920268,SC_B,fold_1
ENSG00000122026,-0.08121323488990026,SC_B,fold_1
ENSG00000273149,0.02501027920904224,SC_B,fold_1
ENSG00000213741,-0.036914267126392945,SC_B,fold_1
ENSG00000170345,0.3836647440144309,SC_B,fold_1
ENSG00000100721,0.027922308170891,SC_B,fold_1
ENSG00000211949,-0.038931607472387456,SC_B,fold_1
ENSG00000166501,-0.15742075675668024,SC_B,fold_1
ENSG00000166164,-0.06717337962982277,SC_B,fold_1
ENSG00000103187,-0.21222439345609773,SC_B,fold_1
ENSG00000185262,-0.06693972496397305,SC_B,fold_1
ENSG00000099875,-0.08030572194758087,SC_B,fold_1
ENSG00000099860,-0.18577339801575232,SC_B,fold_1
ENSG00000104964,-0.04980406550426969,SC_B,fold_1
ENSG00000141867,-0.0390855585442309,SC_B,fold_1
ENSG00000127528,0.38707641262487036,SC_B,fold_1
ENSG00000130522,-0.9109464030299715,SC_B,fold_1
ENSG00000087074,0.22933581450447468,SC_B,fold_1
ENSG00000087460,-0.62153289087803,SC_B,fold_1
ENSG00000171858,-0.010058625108784752,SC_B,fold_1
ENSG00000157514,0.433719795490436,SC_B,fold_1
ENSG00000198918,-0.07194100276823007,SC_B,fold_1
ENSG00000129824,-0.4455979237285557,SC_B,fold_1
ENSG00000228253,-0.7708673405798253,SC_B,fold_1
ENSG00000198899,0.28655034283802966,SC_B,fold_1
ENSG00000198840,-0.20906648775710449,SC_B,fold_1
ENSG00000212907,-0.005758211014925231,SC_B,fold_1
ENSG00000198695,-0.04733933769268819,SC_B,fold_1
intercept,38.261146063044755,SC_B,fold_2
ENSG00000177606,0.6385396081322332,SC_B,fold_2
ENSG00000265972,-0.613337933992572,SC_B,fold_2
ENSG00000143878,0.2137718987384308,SC_B,fold_2
ENSG00000169564,-0.45202000240467255,SC_B,fold_2
ENSG00000184897,0.08315290201022958,SC_B,fold_2
ENSG00000132465,-0.26635937067936294,SC_B,fold_2
ENSG00000109320,-0.018438689725313047,SC_B,fold_2
ENSG00000120129,0.5116273777736665,SC_B,fold_2
ENSG00000067082,0.5135337369087326,SC_B,fold_2
ENSG00000110651,-0.6880159044017528,SC_B,fold_2
ENSG00000173020,-0.06246163440507443,SC_B,fold_2
ENSG00000110848,0.17681115600900094,SC_B,fold_2
ENSG00000167552,0.14930615409983777,SC_B,fold_2
ENSG00000197728,0.3787500943299501,SC_B,fold_2
ENSG00000170345,0.44752763053597405,SC_B,fold_2
ENSG00000211949,-0.09967768817305842,SC_B,fold_2
ENSG00000166501,-0.018204059259181345,SC_B,fold_2
ENSG00000166164,-0.020675392665577604,SC_B,fold_2
ENSG00000103187,-0.008335816119949548,SC_B,fold_2
ENSG00000083454,-0.12466376898305606,SC_B,fold_2
ENSG00000220205,0.07558150900836817,SC_B,fold_2
ENSG00000185262,-0.1968035960997204,SC_B,fold_2
ENSG00000104964,-0.1109547565820635,SC_B,fold_2
ENSG00000127528,0.5156367208434357,SC_B,fold_2
ENSG00000130522,-0.6561035574762928,SC_B,fold_2
ENSG00000087074,0.21796531268491545,SC_B,fold_2
ENSG00000087460,-0.3778482323183343,SC_B,fold_2
ENSG00000157514,0.31296642741435016,SC_B,fold_2
ENSG00000129824,-0.602936203231625,SC_B,fold_2
ENSG00000228253,-0.6876584270930157,SC_B,fold_2
ENSG00000198840,-0.03630975529323319,SC_B,fold_2
intercept,43.03569230581848,SC_B,fold_3
ENSG00000130770,-0.04368088075474798,SC_B,fold_3
ENSG00000177606,0.3564895642798191,SC_B,fold_3
ENSG00000265972,-0.6716645896458912,SC_B,fold_3
ENSG00000143878,0.11362568334866802,SC_B,fold_3
ENSG00000152518,-0.051036414605360375,SC_B,fold_3
ENSG00000169564,-0.3764842834761042,SC_B,fold_3
ENSG00000197756,-0.1671953825224798,SC_B,fold_3
ENSG00000132465,-0.19550878692547805,SC_B,fold_3
ENSG00000120129,0.5218278155456051,SC_B,fold_3
ENSG00000067082,0.5753776270360882,SC_B,fold_3
ENSG00000110651,-0.5050427488521181,SC_B,fold_3
ENSG00000251562,0.0067302444805269175,SC_B,fold_3
ENSG00000173020,-0.04412594334110345,SC_B,fold_3
ENSG00000110848,0.21701242762994066,SC_B,fold_3
ENSG00000167552,0.11008175381245655,SC_B,fold_3
ENSG00000197728,0.5739998241891875,SC_B,fold_3
ENSG00000122026,-0.10363751971247008,SC_B,fold_3
ENSG00000213741,-0.10862011850777224,SC_B,fold_3
ENSG00000170345,0.2670757734333626,SC_B,fold_3
ENSG00000211949,-0.11222146497987678,SC_B,fold_3
ENSG00000166501,-0.05424054420003287,SC_B,fold_3
ENSG00000166164,-0.12187440922558439,SC_B,fold_3
ENSG00000103187,-0.06158343382610375,SC_B,fold_3
ENSG00000083454,-0.052255138865984485,SC_B,fold_3
ENSG00000185262,-0.15697915704894946,SC_B,fold_3
ENSG00000099860,-0.10748498785306097,SC_B,fold_3
ENSG00000104964,-0.19768005310366726,SC_B,fold_3
ENSG00000127528,0.4914335263443487,SC_B,fold_3
ENSG00000130522,-0.6471272700470965,SC_B,fold_3
ENSG00000087074,0.22538799228288223,SC_B,fold_3
ENSG00000087460,-0.495924027252625,SC_B,fold_3
ENSG00000157514,0.26291516385742536,SC_B,fold_3
ENSG00000129824,-0.45266525775776284,SC_B,fold_3
ENSG00000228253,-0.8399634423231275,SC_B,fold_3
ENSG00000198840,-0.3130246525362539,SC_B,fold_3
ENSG00000198786,-0.05062043476568002,SC_B,fold_3
ENSG00000198695,-0.16644949959296004,SC_B,fold_3
intercept,40.77189011290534,SC_B,fold_4
ENSG00000177606,0.5523122612405426,SC_B,fold_4
ENSG00000265972,-0.558245931554936,SC_B,fold_4
ENSG00000143878,0.07881856791590044,SC_B,fold_4
ENSG00000169564,-0.3394617864143313,SC_B,fold_4
ENSG00000132465,-0.09643164393350154,SC_B,fold_4
ENSG00000120129,0.33016346266941426,SC_B,fold_4
ENSG00000198055,-0.025415404303285767,SC_B,fold_4
ENSG00000231500,-0.03121521971783193,SC_B,fold_4
ENSG00000008988,-0.006726521615539323,SC_B,fold_4
ENSG00000067082,0.3953166489829157,SC_B,fold_4
ENSG00000110651,-0.6448498309302085,SC_B,fold_4
ENSG00000173020,-0.00487444764048287,SC_B,fold_4
ENSG00000149273,-0.06454905602927463,SC_B,fold_4
ENSG00000110848,0.1248884046120235,SC_B,fold_4
ENSG00000167552,0.25272849690173815,SC_B,fold_4
ENSG00000197728,0.6305131730370069,SC_B,fold_4
ENSG00000122026,-0.12010365790389911,SC_B,fold_4
ENSG00000170345,0.4118512976478006,SC_B,fold_4
ENSG00000166501,-0.10502505992203168,SC_B,fold_4
ENSG00000166164,-0.126602240052502,SC_B,fold_4
ENSG00000103187,-0.13508345249822057,SC_B,fold_4
ENSG00000083454,-0.012596224672960291,SC_B,fold_4
ENSG00000185262,-0.2399078730893005,SC_B,fold_4
ENSG00000104964,-0.1310041141006513,SC_B,fold_4
ENSG00000127528,0.3520994462847289,SC_B,fold_4
ENSG00000130522,-0.939657172534265,SC_B,fold_4
ENSG00000125740,0.051308563696684385,SC_B,fold_4
ENSG00000087074,0.0855705589328701,SC_B,fold_4
ENSG00000170889,-0.07833885213564354,SC_B,fold_4
ENSG00000132819,-0.013535534194142785,SC_B,fold_4
ENSG00000087460,-0.5082639264356971,SC_B,fold_4
ENSG00000129824,-0.3526596565545662,SC_B,fold_4
ENSG00000228253,-0.45079641831130945,SC_B,fold_4
ENSG00000198840,-0.11063504108144377,SC_B,fold_4
intercept,38.37925959997605,SC_B,fold_5
ENSG00000177606,0.4858918192449375,SC_B,fold_5
ENSG00000265972,-0.6126171371719566,SC_B,fold_5
ENSG00000143878,0.3011991522226094,SC_B,fold_5
ENSG00000169564,-0.5394965453174123,SC_B,fold_5
ENSG00000184897,0.05075671285230022,SC_B,fold_5
ENSG00000132465,-0.09801857685783436,SC_B,fold_5
ENSG00000120129,0.5621313739397106,SC_B,fold_5
ENSG00000198055,-0.004350033255585278,SC_B,fold_5
ENSG00000237541,0.38548680300860644,SC_B,fold_5
ENSG00000067082,0.5817979847493091,SC_B,fold_5
ENSG00000065809,-0.009565714395294142,SC_B,fold_5
ENSG00000110651,-0.8030625247241707,SC_B,fold_5
ENSG00000251562,0.020615047729367456,SC_B,fold_5
ENSG00000173020,-0.18180572030865005,SC_B,fold_5
ENSG00000110848,0.1841466362972167,SC_B,fold_5
